eat,im,food,feel,dont,ur,body,healthy,stop,shit,fuck,make,day,ed,brain,eating,gonna,friends,fucking,full
answer,question,school,time,baby,home,back,family,house,year,long,weeks,uk,parents,hospital,babies,stay,group,allowed,months
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,literally,hate,wanna,ass,money,time,ppl,make,work,back
feel,people,question,answer,life,hard,time,things,hope,make,lot,good,love,bad,person,find,thing,makes,care,friends
eating,food,eat,body,weight,recovery,ed,disorder,binge,healthy,stop,lose,control,calories,normal,brain,foods,number,make,feel
day,today,good,morning,run,night,time,days,eat,made,bed,tomorrow,cake,running,lunch,evening,nice,ate,calories,yesterday
therapy,time,session,week,things,talk,bit,therapist,felt,back,feel,end,thought,talking,asked,good,thinking,told,started,mum
question,answer,school,baby,home,back,time,family,house,year,uk,weeks,parents,stay,long,hospital,babies,week,months,allowed
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,literally,hate,wanna,money,feel,ass,time,make,life,sick
feel,people,question,answer,life,things,lot,hard,hope,love,good,bad,make,time,person,thing,makes,find,care,friends
eating,food,eat,weight,body,recovery,ed,disorder,binge,healthy,stop,calories,control,brain,lose,normal,foods,number,fat,meals
day,today,good,morning,days,run,night,tomorrow,time,bed,eat,made,cake,running,lunch,nice,evening,put,yesterday,sleep
therapy,session,week,things,time,talk,bit,therapist,felt,back,thought,end,feel,talking,good,told,asked,started,thinking,feeling
question,answer,school,back,baby,home,family,time,year,house,weeks,uk,parents,long,hospital,babies,months,care,children,group
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,hate,literally,time,wanna,ass,money,make,feel,life,ppl
feel,people,question,answer,life,things,love,hope,lot,hard,time,good,make,bad,person,thing,find,makes,friends,world
eating,food,eat,body,weight,recovery,ed,disorder,binge,healthy,brain,stop,lose,calories,control,normal,foods,number,fat,feel
day,today,good,morning,eat,night,run,days,made,bed,tomorrow,cake,lunch,hours,time,evening,room,running,ate,nice
therapy,session,week,time,things,talk,bit,therapist,back,felt,feel,thought,end,talking,thinking,told,asked,head,mum,feeling
answer,question,baby,school,home,time,back,family,year,house,uk,parents,weeks,hospital,babies,stay,months,allowed,children,group
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,literally,time,hate,money,wanna,ass,life,sick,ppl,feel
feel,people,question,answer,life,things,make,hard,love,hope,good,lot,bad,time,thing,person,find,makes,care,world
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,stop,control,brain,lose,calories,feel,normal,foods,fat,number
day,today,good,morning,days,eat,run,night,made,bed,time,cake,tomorrow,lunch,evening,running,ate,inpatient,yesterday,bad
therapy,session,week,things,time,talk,bit,therapist,back,felt,feel,thought,end,talking,thinking,asked,told,mum,started,good
question,answer,school,baby,home,back,time,family,year,house,uk,weeks,long,hospital,week,parents,babies,stay,allowed,months
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,literally,wanna,time,money,ass,hate,make,sick,feel,back
feel,people,answer,question,life,things,make,time,hope,hard,love,lot,good,bad,person,find,thing,friends,makes,world
eating,food,eat,body,weight,recovery,ed,disorder,binge,healthy,stop,brain,lose,control,calories,normal,foods,feel,fat,disorders
day,today,good,morning,time,eat,run,night,days,bed,made,lunch,cake,tomorrow,evening,ate,running,calories,bad,yesterday
therapy,week,session,things,time,bit,talk,therapist,felt,back,feel,thought,end,talking,thinking,asked,feels,feeling,head,started
question,answer,school,baby,home,back,family,time,year,house,uk,weeks,parents,hospital,babies,stay,allowed,group,long,lockdown
im,dont,shit,ur,fucking,bc,lol,gonna,fuck,ive,literally,money,time,ass,wanna,hate,make,ppl,sick,ill
feel,people,question,answer,life,things,hope,love,good,time,lot,hard,make,bad,person,find,thing,care,makes,world
eating,food,eat,body,weight,recovery,ed,disorder,binge,healthy,stop,calories,feel,lose,control,normal,brain,foods,fat,number
day,today,good,morning,time,run,eat,night,made,bed,tomorrow,cake,days,lunch,evening,nice,running,ate,yesterday,make
therapy,time,session,week,things,bit,talk,therapist,back,felt,feel,end,thought,talking,asked,good,feeling,told,thinking,feels
question,answer,school,baby,home,family,back,year,house,time,uk,weeks,hospital,stay,babies,week,parents,months,group,allowed
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,literally,feel,hate,time,money,wanna,ass,make,sick,work
feel,people,question,answer,life,lot,things,love,hope,hard,make,time,bad,good,person,thing,find,makes,friends,post
eating,food,eat,weight,body,recovery,ed,disorder,binge,healthy,stop,calories,control,lose,brain,normal,foods,number,fat,thoughts
day,today,good,morning,run,time,eat,days,night,bed,tomorrow,bad,cake,made,lunch,running,evening,nice,ate,yesterday
therapy,time,week,session,things,talk,bit,therapist,felt,back,feel,thought,end,talking,asked,feeling,told,head,thinking,good
answer,question,school,baby,home,back,family,time,year,house,uk,parents,hospital,stay,babies,weeks,care,group,months,long
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,literally,time,wanna,ass,money,hate,sick,life,feel,ppl
feel,people,question,answer,life,things,hard,love,hope,make,lot,person,good,bad,time,thing,find,friends,makes,world
eating,food,eat,body,weight,recovery,disorder,ed,binge,healthy,stop,calories,lose,brain,control,normal,feel,foods,fat,number
day,today,good,morning,run,night,time,made,bed,eat,cake,tomorrow,days,lunch,evening,home,nice,ate,running,yesterday
therapy,session,time,week,things,bit,talk,therapist,feel,felt,back,end,thought,talking,asked,thinking,started,told,feeling,head
answer,question,school,baby,home,back,family,time,year,house,uk,weeks,parents,week,long,hospital,babies,allowed,months,stay
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,time,literally,wanna,money,ass,hate,sick,ppl,feel,make
feel,people,question,answer,life,hard,things,make,hope,good,lot,love,bad,person,time,makes,find,thing,care,friends
eating,food,eat,body,weight,recovery,ed,disorder,binge,healthy,brain,stop,calories,control,lose,normal,feel,foods,meals,fat
day,today,good,morning,night,run,eat,time,bed,made,days,tomorrow,cake,lunch,nice,evening,home,ate,inpatient,running
therapy,session,week,time,things,talk,therapist,bit,back,felt,feel,thought,end,talking,good,asked,thinking,told,feels,mum
answer,question,school,baby,home,family,back,year,uk,house,time,parents,hospital,babies,stay,week,weeks,group,months,allowed
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,time,literally,wanna,money,ass,hate,make,ppl,feel,sick
feel,people,question,answer,life,things,hard,hope,love,make,time,lot,good,bad,person,find,makes,care,thing,world
eating,food,eat,body,weight,recovery,disorder,ed,binge,healthy,stop,brain,control,feel,lose,calories,normal,foods,fat,number
day,today,good,morning,run,night,eat,made,time,days,bed,cake,lunch,tomorrow,evening,bad,ate,make,yesterday,sleep
therapy,time,session,week,things,bit,talk,therapist,felt,back,feel,thought,end,talking,thinking,asked,told,good,started,head
question,answer,school,back,baby,home,family,time,year,house,uk,parents,long,stay,hospital,babies,months,weeks,allowed,lockdown
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,literally,time,wanna,money,ass,hate,feel,sick,work,ppl
feel,people,answer,question,life,things,hard,hope,make,lot,good,love,bad,person,time,find,thing,care,makes,world
eating,food,body,weight,eat,recovery,disorder,ed,binge,healthy,stop,feel,lose,calories,brain,control,normal,foods,number,fat
day,today,good,eat,morning,time,made,run,days,night,tomorrow,bed,cake,lunch,nice,running,evening,ate,breakfast,calories
therapy,session,week,time,things,talk,bit,therapist,felt,back,feel,thought,end,talking,thinking,told,asked,good,stuff,started
answer,question,school,baby,home,back,family,time,year,parents,uk,house,hospital,weeks,babies,months,week,children,group,lockdown
im,dont,shit,ur,fucking,bc,lol,gonna,fuck,ive,hate,literally,time,wanna,ass,money,feel,make,work,life
feel,people,question,answer,life,things,hope,hard,make,love,good,bad,lot,time,person,care,find,give,thing,world
eating,food,eat,weight,body,recovery,ed,disorder,binge,healthy,stop,lose,brain,normal,control,calories,number,foods,fat,thoughts
day,today,good,morning,eat,time,run,night,days,made,bed,tomorrow,cake,nice,lunch,ate,calories,evening,running,inpatient
therapy,session,time,week,things,talk,bit,therapist,back,felt,feel,thought,talking,end,asked,told,feeling,thinking,thing,good
question,answer,school,back,baby,home,family,year,time,uk,house,parents,hospital,babies,stay,months,group,long,weeks,week
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,hate,wanna,ass,literally,money,time,sick,ppl,work,make
feel,people,question,answer,life,hard,things,hope,love,make,lot,good,time,bad,person,find,makes,care,thing,world
eating,food,eat,weight,body,recovery,ed,disorder,binge,healthy,brain,stop,lose,control,calories,feel,foods,normal,fat,make
day,today,good,morning,time,eat,days,run,night,bed,cake,lunch,tomorrow,made,evening,running,calories,breakfast,hours,nice
therapy,session,time,things,week,talk,bit,therapist,felt,back,feel,thought,end,talking,asked,thinking,told,good,feels,feeling
answer,question,school,baby,home,back,family,year,time,house,week,uk,parents,hospital,babies,stay,weeks,long,months,group
im,dont,shit,ur,bc,fucking,lol,gonna,fuck,ive,literally,time,hate,ass,wanna,money,feel,ppl,make,sick
feel,people,question,answer,life,things,love,hope,good,make,lot,hard,bad,time,person,find,care,makes,thing,world
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,stop,feel,brain,calories,lose,control,normal,foods,fat,meals
day,today,good,morning,run,days,night,time,bed,cake,tomorrow,made,eat,lunch,inpatient,evening,nice,room,running,bad
therapy,session,week,things,time,bit,talk,therapist,back,felt,feel,thought,talking,end,asked,good,feeling,thinking,told,head
question,answer,school,baby,back,home,family,year,house,parents,uk,time,hospital,long,babies,stay,group,allowed,children,week
im,dont,shit,ur,bc,fucking,lol,gonna,fuck,ive,time,literally,wanna,money,ass,hate,feel,make,ppl,sick
feel,people,answer,question,life,things,hard,time,hope,love,lot,make,good,person,bad,makes,care,find,thing,post
eating,food,eat,body,weight,recovery,disorder,ed,binge,healthy,feel,stop,calories,control,brain,lose,normal,foods,thoughts,fat
day,today,good,morning,run,time,night,eat,tomorrow,cake,days,bed,lunch,made,evening,inpatient,breakfast,bad,running,sleep
therapy,session,week,things,time,bit,talk,feel,therapist,felt,back,thought,talking,end,told,asked,thinking,good,started,part
answer,question,school,home,baby,back,family,time,year,uk,house,hospital,parents,weeks,babies,months,care,stay,allowed,group
im,dont,shit,ur,fucking,bc,gonna,lol,fuck,ive,time,literally,wanna,ass,money,feel,hate,sick,work,ppl
people,feel,question,answer,life,things,make,hard,hope,love,time,lot,bad,person,good,thing,find,friends,makes,care
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,feel,stop,calories,control,lose,normal,foods,thoughts,brain,fat
day,today,good,morning,run,night,days,time,bed,tomorrow,made,eat,bad,cake,lunch,evening,make,running,inpatient,ate
therapy,time,session,week,things,talk,bit,feel,therapist,felt,back,thought,talking,end,thinking,asked,feeling,told,good,started
answer,question,school,home,baby,back,family,year,house,uk,parents,time,hospital,stay,babies,allowed,long,group,months,weeks
im,dont,shit,ur,fucking,bc,lol,gonna,fuck,ive,time,feel,hate,literally,wanna,ass,money,make,ppl,back
people,feel,question,answer,life,things,hope,love,hard,good,lot,time,make,person,bad,care,thing,makes,friends,find
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,feel,stop,brain,lose,calories,control,normal,time,foods,fat
day,today,good,morning,time,run,night,days,eat,made,cake,lunch,tomorrow,bed,evening,bad,calories,breakfast,ate,home
therapy,session,things,week,time,talk,bit,therapist,back,feel,felt,thought,end,talking,good,asked,thinking,told,feeling,thing
answer,question,school,home,baby,back,time,family,year,house,uk,parents,week,hospital,babies,weeks,group,months,lockdown,stay
im,dont,shit,ur,fucking,bc,lol,gonna,time,fuck,ive,literally,feel,wanna,money,ass,hate,life,make,ppl
feel,people,question,answer,life,things,hope,love,make,hard,lot,person,good,bad,find,time,friends,world,kind,post
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,stop,feel,control,lose,calories,brain,thoughts,fat,foods,normal
day,today,good,morning,days,run,made,night,eat,bed,time,tomorrow,cake,lunch,evening,bad,running,calories,home,breakfast
therapy,session,things,week,time,talk,bit,therapist,feel,back,felt,thought,end,talking,asked,good,thinking,told,started,mum
answer,question,school,home,baby,family,back,year,time,house,uk,parents,week,hospital,babies,weeks,group,long,allowed,months
im,dont,shit,fucking,ur,bc,lol,gonna,time,fuck,ive,literally,ass,wanna,money,hate,feel,make,work,ppl
people,feel,question,answer,life,things,hope,hard,love,time,make,lot,person,bad,thing,find,good,care,world,makes
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,feel,stop,control,lose,brain,normal,calories,foods,fat,thoughts
day,today,good,morning,time,run,night,days,eat,bed,made,tomorrow,cake,lunch,running,inpatient,bad,evening,nice,calories
therapy,session,things,week,time,talk,bit,therapist,feel,felt,back,end,thought,talking,asked,thinking,good,feeling,told,feels
answer,question,school,home,baby,back,time,family,year,house,uk,parents,hospital,babies,long,stay,group,months,weeks,allowed
im,dont,shit,ur,fucking,bc,lol,gonna,fuck,time,ive,literally,ass,wanna,life,hate,money,make,feel,sick
feel,people,question,answer,life,things,hope,love,make,hard,time,person,good,lot,bad,find,makes,thing,world,friends
eating,food,eat,body,weight,recovery,disorder,ed,binge,healthy,stop,feel,brain,lose,calories,control,normal,number,foods,fat
day,today,good,morning,time,eat,days,run,night,made,bed,lunch,cake,nice,evening,tomorrow,make,ate,bad,calories
therapy,session,week,time,things,talk,bit,therapist,feel,back,felt,end,talking,thought,thinking,asked,told,mum,feels,started
answer,question,school,back,home,baby,year,family,house,uk,time,long,hospital,babies,stay,allowed,parents,group,children,weeks
im,dont,shit,ur,fucking,bc,lol,gonna,fuck,ive,time,feel,literally,money,ass,wanna,hate,make,life,sick
people,feel,question,answer,life,things,hope,love,lot,make,time,hard,person,bad,find,good,makes,care,thing,world
eating,food,eat,body,weight,recovery,disorder,ed,binge,healthy,feel,brain,lose,stop,control,calories,normal,foods,number,fat
day,today,good,time,morning,run,eat,night,bed,days,made,cake,lunch,tomorrow,evening,home,bad,inpatient,breakfast,running
therapy,session,time,week,things,talk,feel,therapist,bit,felt,back,thought,end,talking,thinking,asked,told,feeling,started,good
question,answer,school,baby,home,back,family,year,time,uk,house,parents,hospital,babies,stay,weeks,allowed,week,children,long
im,dont,shit,ur,fucking,bc,lol,gonna,feel,fuck,ive,time,literally,wanna,money,ass,hate,make,life,work
people,feel,question,answer,life,things,hope,love,make,hard,good,lot,person,time,bad,care,find,thing,makes,world
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,feel,stop,brain,lose,calories,control,normal,foods,meals,fat
day,today,good,morning,time,eat,night,run,days,made,bed,cake,tomorrow,lunch,bad,evening,inpatient,home,running,hours
therapy,session,week,time,things,talk,bit,feel,therapist,back,felt,thought,talking,end,good,asked,thinking,told,feeling,head
answer,question,school,baby,home,back,time,year,family,uk,parents,house,hospital,babies,long,children,months,weeks,group,week
im,dont,shit,ur,fucking,bc,lol,gonna,fuck,ive,time,literally,feel,wanna,ass,money,hate,work,ppl,make
people,feel,question,answer,life,things,hope,love,hard,make,lot,time,person,bad,find,good,friends,world,care,post
eating,food,eat,weight,body,disorder,recovery,ed,binge,healthy,feel,stop,brain,calories,lose,control,normal,foods,fat,make
day,today,good,morning,time,days,night,run,eat,made,bed,tomorrow,cake,lunch,bad,nice,evening,home,running,sleep
therapy,time,session,week,things,talk,therapist,bit,back,feel,felt,talking,end,thought,asked,thinking,good,feeling,told,part
question,answer,school,baby,home,back,family,year,uk,house,time,parents,babies,hospital,stay,weeks,long,group,week,years
im,dont,shit,ur,fucking,bc,lol,gonna,fuck,time,ive,feel,literally,wanna,ass,hate,money,make,life,ppl
people,feel,question,answer,life,things,hope,love,make,hard,person,lot,good,find,time,care,friends,bad,thing,makes
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,stop,feel,calories,control,lose,brain,normal,time,foods,fat
day,today,good,morning,time,night,days,run,bed,made,tomorrow,cake,lunch,bad,home,eat,evening,inpatient,running,hours
therapy,session,week,time,things,talk,therapist,bit,feel,felt,back,thought,end,talking,asked,good,thinking,feeling,told,thing
answer,question,school,baby,home,time,family,back,year,parents,uk,house,hospital,babies,months,group,weeks,long,people,care
im,dont,shit,ur,fucking,bc,lol,gonna,ive,fuck,feel,time,literally,wanna,ass,money,hate,make,life,work
feel,people,question,answer,life,things,hope,love,hard,make,lot,person,good,find,bad,world,care,time,post,makes
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,feel,stop,lose,control,brain,calories,normal,time,foods,fat
day,today,good,time,morning,run,days,eat,night,bed,made,tomorrow,cake,lunch,bad,home,evening,calories,running,nice
therapy,session,week,things,time,talk,therapist,bit,feel,felt,back,talking,end,thought,asked,thinking,feeling,thing,told,mum
answer,question,school,home,baby,back,family,year,uk,house,time,parents,hospital,babies,weeks,week,people,stay,allowed,foster
im,dont,shit,ur,fucking,bc,lol,gonna,fuck,ive,time,wanna,literally,feel,ass,hate,money,make,ppl,life
people,feel,question,answer,life,things,hope,love,make,hard,lot,good,person,bad,time,find,makes,care,world,thing
eating,eat,food,weight,body,recovery,disorder,ed,binge,healthy,feel,stop,lose,normal,control,calories,brain,thoughts,foods,fat
day,today,good,time,morning,run,night,days,bed,tomorrow,made,cake,bad,lunch,home,eat,evening,calories,nice,running
therapy,session,time,week,things,talk,feel,therapist,bit,felt,back,talking,thought,end,good,asked,thinking,thing,told,started
answer,question,school,baby,home,family,year,back,time,uk,hospital,house,babies,people,parents,week,stay,months,group,allowed
im,dont,shit,ur,bc,fucking,lol,gonna,fuck,ive,time,literally,feel,wanna,ass,money,hate,make,life,work
people,question,feel,answer,life,things,hope,love,hard,make,lot,person,time,find,bad,good,care,world,friends,makes
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,brain,stop,feel,calories,lose,control,foods,normal,meals,thoughts
day,today,good,morning,time,run,night,made,bed,eat,cake,days,tomorrow,lunch,evening,home,hours,bad,breakfast,calories
therapy,session,time,week,things,talk,feel,bit,therapist,felt,back,talking,thought,end,asked,thinking,feeling,told,started,good
question,answer,school,baby,home,back,time,year,family,uk,house,parents,hospital,babies,week,stay,allowed,group,weeks,foster
im,dont,shit,ur,fucking,bc,lol,gonna,time,ive,fuck,feel,literally,wanna,ass,money,make,life,hate,ppl
people,feel,question,answer,life,things,hope,love,good,make,hard,lot,person,bad,time,find,makes,care,thing,world
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,feel,calories,brain,control,stop,lose,normal,foods,fat,number
day,today,good,time,morning,run,night,days,bed,made,eat,cake,tomorrow,lunch,bad,home,evening,running,inpatient,sleep
therapy,session,time,week,talk,things,bit,therapist,feel,felt,back,talking,end,thought,asked,thinking,good,told,thing,mum
answer,question,school,baby,home,family,back,year,time,uk,house,babies,parents,hospital,allowed,long,months,group,week,stay
im,dont,shit,fucking,ur,bc,lol,gonna,fuck,ive,literally,time,wanna,ass,feel,money,hate,work,life,ppl
feel,people,question,answer,life,things,hope,make,love,hard,good,time,person,lot,find,care,makes,world,bad,friends
eating,food,eat,weight,body,recovery,disorder,ed,binge,healthy,feel,stop,calories,lose,control,brain,make,normal,foods,meals
day,today,good,time,morning,run,night,bed,days,eat,cake,tomorrow,home,made,lunch,evening,bad,inpatient,yesterday,breakfast
therapy,session,time,week,things,bit,talk,therapist,feel,back,felt,talking,end,thought,asked,thinking,told,good,feeling,stuff
answer,question,school,baby,home,back,year,family,uk,people,time,hospital,babies,house,week,long,parents,stay,weeks,care
im,dont,shit,ur,bc,fucking,lol,feel,gonna,ive,time,fuck,literally,ass,wanna,money,make,hate,life,ppl
question,people,feel,answer,life,things,hope,love,time,good,hard,bad,make,person,lot,find,thing,friends,care,world
eating,food,eat,weight,body,disorder,recovery,ed,binge,healthy,feel,stop,calories,brain,lose,time,control,foods,normal,fat
day,today,good,time,morning,run,days,night,eat,bed,made,bad,cake,lunch,tomorrow,home,evening,hours,ate,inpatient
therapy,session,time,week,things,talk,bit,therapist,feel,back,felt,talking,thought,end,good,asked,thinking,feels,told,feeling
question,answer,school,baby,home,year,back,family,uk,parents,time,hospital,babies,house,allowed,group,months,weeks,foster,stay
im,dont,shit,ur,fucking,bc,lol,feel,gonna,time,ive,fuck,make,literally,ass,hate,wanna,money,life,sick
people,feel,question,answer,life,things,hope,love,hard,make,lot,good,person,time,thing,find,care,bad,friends,post
eating,eat,food,weight,body,disorder,recovery,ed,binge,feel,healthy,time,calories,brain,lose,normal,control,stop,meals,foods
day,today,good,morning,night,run,time,days,bed,home,made,tomorrow,lunch,eat,cake,evening,running,hours,bad,nice
therapy,session,week,time,things,bit,talk,feel,therapist,back,felt,end,talking,thought,asked,thinking,feeling,told,feels,good
question,answer,school,baby,home,back,family,time,uk,year,parents,hospital,house,babies,people,months,group,weeks,foster,care
im,dont,shit,ur,fucking,bc,lol,gonna,feel,time,ive,fuck,wanna,literally,ass,hate,money,make,ppl,life
people,question,feel,answer,life,things,hope,love,make,hard,person,lot,good,time,bad,find,care,post,thing,friends
eating,food,eat,body,weight,recovery,disorder,ed,binge,feel,healthy,stop,brain,calories,lose,time,control,thoughts,foods,normal
day,today,good,morning,time,run,night,eat,bed,made,tomorrow,days,cake,bad,lunch,home,evening,calories,make,nice
therapy,session,time,week,feel,things,talk,bit,therapist,felt,back,talking,thought,end,asked,thinking,good,told,started,feeling
answer,question,school,baby,home,year,back,uk,family,time,hospital,babies,house,parents,week,group,people,allowed,stay,lockdown
im,dont,shit,ur,fucking,lol,bc,gonna,time,ive,fuck,feel,wanna,ass,literally,money,make,hate,life,ppl
people,question,answer,feel,life,things,hope,love,make,person,hard,lot,time,good,find,bad,care,friends,makes,world
eating,food,eat,weight,body,disorder,recovery,ed,binge,feel,healthy,stop,brain,lose,calories,control,normal,foods,time,meals
day,today,good,time,morning,days,run,night,bed,eat,cake,made,lunch,tomorrow,home,bad,evening,running,hours,calories
therapy,session,time,week,things,talk,bit,therapist,feel,felt,back,talking,thought,end,asked,told,good,feeling,started,thinking
question,answer,school,home,baby,family,time,back,uk,year,parents,hospital,people,babies,house,stay,week,weeks,care,foster
im,dont,shit,ur,fucking,lol,bc,gonna,time,ive,feel,fuck,make,ass,literally,money,wanna,hate,work,life
people,question,answer,feel,life,things,hope,love,hard,good,person,make,lot,time,find,friends,care,recovery,world,thing
eating,food,eat,weight,body,disorder,recovery,ed,binge,feel,healthy,brain,stop,lose,calories,normal,control,foods,meals,fat
day,today,good,time,morning,run,night,days,bed,tomorrow,eat,cake,made,home,lunch,evening,bad,nice,calories,hours
therapy,session,things,time,week,talk,bit,feel,therapist,back,felt,talking,thought,end,asked,told,feeling,good,thinking,feels
question,answer,school,home,baby,back,time,uk,year,family,hospital,people,babies,parents,week,children,stay,house,long,foster
im,dont,shit,ur,fucking,bc,lol,gonna,feel,ive,fuck,time,wanna,literally,ass,money,make,hate,life,body
question,people,answer,feel,life,things,hope,love,hard,make,person,good,time,lot,find,recovery,bad,care,friends,world
eating,food,eat,weight,body,recovery,disorder,ed,feel,binge,healthy,calories,stop,lose,brain,control,make,normal,foods,meals
day,today,good,morning,time,days,eat,run,night,made,bed,home,lunch,cake,bad,tomorrow,evening,nice,running,inpatient
therapy,session,time,week,things,feel,bit,talk,therapist,felt,back,talking,end,thought,asked,thinking,good,told,started,feeling
answer,question,school,baby,home,back,time,year,family,uk,hospital,parents,babies,week,people,long,house,foster,weeks,care
im,dont,shit,ur,fucking,bc,lol,gonna,ive,time,fuck,feel,wanna,ass,literally,money,hate,life,make,sick
people,question,answer,feel,life,things,love,hope,hard,good,make,time,person,lot,bad,find,recovery,care,makes,world
eating,eat,food,weight,body,recovery,disorder,ed,binge,feel,healthy,brain,stop,lose,calories,time,control,normal,foods,fat
day,today,good,morning,time,days,run,home,night,made,bed,cake,lunch,eat,tomorrow,evening,running,sleep,hours,calories
therapy,time,session,week,things,feel,talk,bit,therapist,felt,back,talking,thought,end,asked,thinking,good,feeling,thing,told
answer,question,school,baby,home,year,uk,back,family,time,parents,people,hospital,babies,group,week,stay,house,foster,allowed
im,dont,shit,ur,fucking,bc,lol,feel,time,gonna,ive,fuck,literally,make,ass,hate,wanna,money,ppl,sick
people,question,answer,feel,life,things,hope,love,make,good,person,hard,lot,bad,find,time,care,post,world,makes
eating,eat,food,weight,body,disorder,ed,binge,recovery,healthy,feel,brain,calories,lose,stop,control,normal,time,foods,fat
day,today,good,time,morning,run,night,made,days,bed,home,bad,lunch,cake,tomorrow,evening,eat,running,inpatient,yesterday
therapy,session,time,things,week,feel,talk,therapist,bit,felt,back,talking,thought,end,asked,good,thinking,told,mum,thing
answer,question,school,baby,home,back,year,uk,time,people,family,parents,hospital,babies,week,house,foster,months,weeks,group
im,dont,shit,ur,fucking,bc,lol,gonna,feel,time,ive,fuck,life,literally,wanna,ass,money,hate,make,work
people,question,answer,feel,life,things,hope,love,recovery,make,good,hard,lot,person,find,time,world,post,care,bad
eating,food,eat,weight,body,disorder,feel,binge,healthy,ed,calories,stop,lose,brain,normal,control,recovery,foods,meals,good
day,today,good,time,morning,run,night,eat,home,made,days,bed,tomorrow,cake,lunch,make,evening,bad,running,hours
therapy,session,time,week,things,feel,talk,bit,therapist,felt,back,talking,end,thought,asked,good,feeling,thinking,told,mum
answer,question,school,baby,home,back,year,uk,family,parents,people,hospital,babies,house,group,week,weeks,long,foster,care
im,dont,shit,ur,fucking,bc,lol,feel,gonna,ive,fuck,time,literally,ass,money,wanna,make,life,hate,ppl
question,people,answer,feel,life,recovery,things,hope,love,time,hard,person,make,lot,find,good,care,ed,bad,world
eating,eat,food,weight,body,disorder,feel,binge,healthy,ed,time,brain,calories,lose,stop,control,recovery,normal,meals,foods
day,today,good,time,morning,run,made,night,home,days,bed,bad,tomorrow,cake,lunch,evening,hours,running,nice,inpatient
therapy,session,time,things,week,feel,bit,talk,therapist,felt,back,talking,thought,end,good,asked,thinking,feels,told,thing
question,answer,school,baby,home,back,uk,year,family,people,parents,babies,hospital,time,week,long,foster,stay,house,children
im,dont,shit,ur,fucking,bc,lol,gonna,time,feel,fuck,ive,wanna,ass,money,literally,life,make,work,hate
question,people,answer,feel,life,things,recovery,hope,love,make,hard,person,lot,find,good,time,ed,care,post,world
eating,food,eat,weight,body,disorder,binge,feel,healthy,ed,brain,calories,lose,stop,recovery,time,meals,make,normal,foods
day,today,good,time,morning,night,run,bed,days,eat,made,home,bad,cake,tomorrow,evening,lunch,running,hours,inpatient
therapy,session,things,time,week,feel,therapist,talk,bit,felt,back,talking,end,thought,asked,told,good,thinking,mum,thing
question,answer,school,baby,home,family,uk,year,people,time,back,babies,hospital,parents,weeks,house,stay,foster,long,social
im,dont,shit,ur,fucking,feel,bc,lol,gonna,time,ive,fuck,wanna,ass,literally,make,money,life,hate,back
people,answer,question,feel,life,recovery,things,hope,love,hard,person,make,good,lot,time,care,ed,post,find,friends
eating,food,eat,weight,body,binge,disorder,feel,healthy,time,ed,calories,brain,lose,stop,normal,meals,foods,control,good
day,today,good,time,morning,run,night,bed,made,days,tomorrow,home,lunch,bad,cake,evening,make,eat,nice,running
therapy,session,feel,things,time,week,talk,bit,therapist,felt,back,talking,end,thought,good,asked,thinking,told,feeling,mum
question,answer,school,baby,home,back,family,people,uk,year,time,hospital,parents,babies,week,allowed,house,foster,care,weeks
im,dont,shit,ur,feel,fucking,lol,bc,gonna,time,ive,fuck,make,wanna,ass,literally,money,life,work,hate
question,answer,people,feel,life,recovery,things,hope,love,hard,make,person,lot,ed,time,find,good,care,bad,world
eating,eat,food,weight,body,disorder,binge,feel,healthy,ed,brain,calories,recovery,stop,lose,meals,control,normal,foods,good
day,today,good,time,morning,run,night,home,made,bed,days,tomorrow,cake,evening,nice,lunch,running,back,hours,baby
therapy,session,week,things,time,talk,therapist,feel,bit,felt,talking,back,end,thought,asked,good,thing,thinking,told,feeling
answer,question,school,baby,home,family,uk,year,people,back,time,hospital,babies,parents,week,long,group,foster,care,weeks
